,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,F,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
1998-03-25,,,,,,,,,,,,,,,21.9184,,,,,,,,,,,25.647,7.2052,15.2211,,18.3476,17.2636,19.4223
1998-03-26,,,,,,,,,,,,,,,21.7687,,,,,,,,,,,25.7723,7.2192,15.0761,,18.1028,17.3054,19.5484
1998-03-27,,,,,,,,,,,,,,,21.4123,,,,,,,,,,,25.7894,7.1252,15.0563,,17.9148,17.3715,19.385
1998-03-30,,,,,,,,,,,,,,,21.4692,,,,,,,,,,,25.4687,7.0462,14.9838,,17.9928,17.5454,19.4768
1998-03-31,,,,,,,,,,,,,,,21.9933,,,,,,,,,,,25.5231,7.0062,15.2096,,18.1365,17.6741,19.385
1998-04-01,,,,,,,,,,,,,,,21.9753,,,,,,,,,,,25.4859,6.9856,15.5094,,17.9804,17.9141,19.7635
1998-04-02,,,,,,,,,,,,,,,22.8348,,,,,,,,,,,25.3971,7.4249,15.6841,,18.0691,17.6741,20.0301
1998-04-03,,,,,,,,,,,,,,,23.0594,,,,,,,,,,,25.4687,7.5472,15.5704,,18.1471,17.9141,19.8351
1998-04-06,,,,,,,,,,,,,,,22.8168,,,,,,,,,,,25.7178,7.4249,16.0449,,17.9041,17.2636,19.6201
1998-04-07,,,,,,,,,,,,,,,22.5353,,,,,,,,,,,25.2368,7.3708,15.7862,,17.9396,17.6532,19.4223
1998-04-08,,,,,,,,,,,,,,,22.0681,,,,,,,,,,,25.022,7.4325,15.694,,17.1693,17.3923,18.955
1998-04-09,,,,,,,,,,,,,,,22.2928,,,,,,,,,,,25.1279,7.5807,15.7039,,17.3266,17.6741,19.1356
1998-04-13,,,,,,,,,,,,,,,22.0861,,,,,,,,,,,24.8244,7.5677,15.7862,,16.8225,17.8063,19.4051
1998-04-14,,,,,,,,,,,,,,,21.7297,,,,,,,,,,,24.9848,7.8447,16.0334,,16.835,18.5228,19.2618
1998-04-15,,,,,,,,,,,,,,,21.4303,,,,,,,,,,,25.1279,7.6489,15.7862,,16.499,18.742,19.6918
1998-04-16,,,,,,,,,,,,,,,20.9631,,,,,,,,,,,24.9676,7.5613,15.951,,16.533,18.2828,20.1562
1998-04-17,,,,,,,,,,,,,,,21.7297,,,,,,,,,,,24.9504,7.5537,15.8587,,17.1478,18.5228,20.6579
1998-04-20,,,,,,,,,,,,,,,21.3764,,,,,,,,,,,25.1652,7.5537,15.9823,,17.1031,18.175,20.9102
1998-04-21,,,,,,,,,,,,,,,21.1877,,,,,,,,,,,24.8788,7.5537,16.1273,,17.2032,18.1959,21.0162
1998-04-22,,,,,,,,,,,,,,,21.3764,,,,,,,,,,,24.7356,7.6154,16.0647,,17.4713,18.1959,20.9102
1998-04-23,,,,,,,,,,,,,,,21.2266,,,,,,,,,,,24.2689,7.3243,16.1471,,16.9119,17.8724,21.1424
1998-04-24,,,,,,,,,,,,,,,21.1518,,,,,,,,,,,24.1257,7.2366,16.157,,16.6331,17.4793,21.0707
1998-04-27,,,,,,,,,,,,,,,20.7774,,,,,,,,,,,23.7133,6.9856,16.0449,,16.3989,17.2393,21.3029
1998-04-28,,,,,,,,,,,,,,,20.6636,,,,,,,,,,,23.1607,7.1144,15.9312,,16.365,17.0897,21.0334
1998-04-29,,,,,,,,,,,,,,,20.7205,,,,,,,,,,,23.6618,7.2226,15.951,,16.4776,17.1523,20.9102
1998-04-30,,,,,,,,,,,,,,,21.4123,,,,,,,,,,,24.2689,7.6013,16.2196,,16.7224,17.5871,20.9446
1998-05-01,,,,,,,,,,,,,,,21.02,,,,,,,,,,,24.3405,7.5331,16.2921,,17.382,17.6115,21.6785
1998-05-04,,,,,,,,,,,,,,,21.1877,,,,,,,,,,,24.2689,7.5407,16.4041,,17.7162,17.6984,21.429
1998-05-05,,,,,,,,,,,,,,,21.0769,,,,,,,,,,,24.6984,7.6013,16.1685,,17.7055,17.5663,21.214
1998-05-06,,,,,,,,,,,,,,,20.7565,,,,,,,,,,,24.5925,7.5742,16.0037,,17.2479,17.3715,21.3402
1998-05-07,,,,,,,,,,,,,,,20.8313,,,,,,,,,,,24.5925,7.6154,15.7665,,17.0013,17.6115,20.999
1998-05-08,,,,,,,,,,,,,,,21.3015,,,,,,,,,,,24.8416,7.8577,15.8489,,16.8904,17.5663,20.9818
1998-05-11,,,,,,,,,,,,,,,21.002,,,,,,,,,,,25.1652,7.7971,15.9823,,16.6563,17.7854,21.0277
1998-05-12,,,,,,,,,,,,,,,21.2266,,,,,,,,,,,25.2339,7.7701,16.0449,,16.7778,18.3489,21.2785
1998-05-13,,,,,,,,,,,,,,,21.6938,,,,,,,,,,,25.3771,7.8318,15.8802,,16.4776,18.8289,21.2237
1998-05-14,,,,,,,,,,,,,,,21.6189,,,,,,,,,,,25.1995,7.8718,15.8901,,16.2863,18.8498,21.2237
1998-05-15,,,,,,,,,,,,,,,21.1518,,,,,,,,,,,25.3771,7.6078,15.7566,,16.2988,18.8046,21.2439
1998-05-18,,,,,,,,,,,,,,,21.3381,,,,,,,,,,,25.1995,7.4931,15.488,,16.1755,18.9159,20.9181
1998-05-19,,,,,,,,,,,,,,,21.2449,,,,,,,,,,,25.1995,7.2626,15.6528,,16.0522,18.8916,20.8461
1998-05-20,,,,,,,,,,,,,,,21.3952,,,,,,,,,,,25.3771,7.1349,15.9593,,16.4883,19.0898,20.5405
1998-05-21,,,,,,,,,,,,,,,21.3201,,,,,,,,,,,25.1995,7.3578,15.8865,,16.5669,19.3925,20.2868
1998-05-22,,,,,,,,,,,,,,,21.1878,,,,,,,,,,,24.77,7.175,15.9179,,16.6223,19.3055,20.3416
1998-05-26,,,,,,,,,,,,,,,21.0015,,,,,,,,,,,24.9475,7.0332,15.7211,,16.3542,18.6968,20.0533
1998-05-27,,,,,,,,,,,,,,,20.8693,,,,,,,,,,,24.8044,6.938,15.3391,,16.2202,18.9159,20.2868
1998-05-28,,,,,,,,,,,,,,,21.0376,,,,,,,,,,,25.1308,6.7627,15.473,,16.2863,19.2846,20.4511
1998-05-29,,,,,,,,,,,,,,,20.7551,,,,,,,,,,,25.4172,6.925,15.5458,,16.3757,19.1768,20.3243
1998-06-01,,,,,,,,,,,,,,,20.719,,,,,,,,,,,25.6634,6.8439,15.5557,,16.9119,19.6533,20.3589
1998-06-02,,,,,,,,,,,,,,,20.5687,,,,,,,,,,,25.8467,6.7292,15.4532,,16.9119,19.8064,20.1628
1998-06-03,,,,,,,,,,,,,,,20.3614,,,,,,,,,,,25.4172,6.7627,15.215,,16.9905,19.4794,19.8918
1998-06-04,,,,,,,,,,,,,,,20.8512,,,,,,,,,,,25.6291,6.7357,14.9984,,16.9905,19.6986,20.2695
1998-06-05,,,,,,,,,,,,,,,21.4884,,,,,,,,,,,25.4859,6.8038,15.1737,,17.3033,20.109,20.7019
1998-06-08,,,,,,,,,,,,,,,21.263,,,,,,,,,,,25.4172,6.8038,15.1125,,16.9351,20.1751,20.5232
1998-06-09,,,,,,,,,,,,,,,21.6567,,,,,,,,,,,25.7035,6.8839,15.0397,,17.2479,20.196,20.1628
1998-06-10,,,,,,,,,,,,,,,21.8821,,,,,,,,,,,25.5546,6.9185,14.4295,,17.18,20.6099,19.8371
1998-06-11,,,,,,,,,,,,,,,21.9031,,,,,,,,,,,25.022,6.9045,14.0375,,17.0013,20.523,19.6209
1998-06-12,,,,,,,,,,,,,,,21.9392,,,,,,,,,,,25.4515,6.912,14.3782,,17.0352,20.4569,19.9812
1998-06-15,,,,,,,,,,,,,,,21.4523,,,,,,,,,,,25.3083,6.7898,14.2228,,16.9798,19.6742,19.7477
1998-06-16,,,,,,,,,,,,,,,21.9392,,,,,,,,,,,25.2339,6.7021,14.1616,,16.9012,19.9594,20.0533
1998-06-17,,,,,,,,,,,,,,,22.3148,,,,,,,,,,,25.3771,6.8103,14.6991,,17.0138,20.3553,20.4684
1998-06-18,,,,,,,,,,,,,,,22.5042,,,,,,,,,,,25.3083,6.9315,14.5535,,17.0799,20.202,20.3963
1998-06-19,,,,,,,,,,,,,,,22.7296,,,,,,,,,,,24.8044,6.8579,14.2228,,17.348,20.1602,20.1974
1998-06-22,,,,,,,,,,,,,,,22.4651,,,,,,,,,,,24.5581,6.7562,14.2542,,17.1585,19.9617,20.3589
1998-06-23,,,,,,,,,,,,,,,22.955,,,,,,,,,,,24.2717,6.7086,14.575,,17.5821,20.6165,20.7019
1998-06-24,,,,,,,,,,,,,,,23.3667,,,,,,,,,,,24.3061,6.8915,14.7404,,16.533,20.9439,20.8836
1998-06-25,,,,,,,,,,,,,,,23.1233,,,,,,,,,,,23.5157,6.9315,14.8016,,16.3989,20.8987,20.9009
1998-06-26,,,,,,,,,,,,,,,23.1233,,,,,,,,,,,24.0541,7.0603,14.957,,16.2863,20.7907,20.8288
1998-06-29,,,,,,,,,,,,,,,23.1413,,,,,,,,,,,24.0889,7.1209,15.1423,,16.3203,21.6162,20.6126
1998-06-30,,,,,,,,,,,,,,,22.2397,,,,,,,,,,,24.3787,6.8915,15.2977,,16.3113,21.1599,20.5751
1998-07-01,,,,,,,,,,,,,,,22.0143,,,,,,,,,,,24.8134,7.1079,15.526,,16.6009,21.0728,21.0277
1998-07-02,,,,,,,,,,,,,,,22.1465,,,,,,,,,,,24.6685,7.0397,15.5673,,16.6223,21.139,21.0075
1998-07-06,,,,,,,,,,,,,,,21.7528,,,,,,,,,,,25.1032,7.0332,15.7211,,16.8225,21.334,21.1344
1998-07-07,,,,,,,,,,,,,,,22.408,,,,,,,,,,,24.8134,7.0267,15.6913,,16.7582,21.2922,20.9729
1998-07-08,,,,,,,,,,,,,,,21.9572,,,,,,,,,,,24.8134,7.0332,15.8567,,16.8958,21.8774,21.0998
1998-07-09,,,,,,,,,,,,,,,21.7709,,,,,,,,,,,25.0684,6.9726,15.7939,,16.7805,21.9889,20.6846
1998-07-10,,,,,,,,,,,,,,,21.6026,,,,,,,,,,,24.3439,6.8774,15.65,,16.7372,22.3581,20.6673
1998-07-13,,,,,,,,,,,,,,,21.5815,,,,,,,,,,,24.3787,6.7898,15.6913,,16.939,22.3128,20.3243
1998-07-14,,,,,,,,,,,,,,,22.3148,,,,,,,,,,,24.3439,6.7562,15.784,,16.557,23.1209,20.774
1998-07-15,,,,,,,,,,,,,,,22.8047,,,,,,,,,,,23.9845,6.6545,15.8981,,16.1498,22.9467,20.6472
1998-07-16,,,,,,,,,,,,,,,23.2555,,,,,,,,,,,23.9845,6.6545,15.9692,,16.3083,23.9464,20.5751
1998-07-17,,,,,,,,,,,,,,,23.3096,,,,,,,,,,,24.2744,6.7216,15.65,,16.2399,24.0335,20.8634
1998-07-20,,,,,,,,,,,,,,,23.1804,,,,,,,,,,,23.9092,6.6339,15.3606,,16.3768,23.9673,20.3416
1998-07-21,,,,,,,,,,,,,,,22.9159,,,,,,,,,,,23.1847,6.4792,15.5871,,15.9696,23.6851,20.2349
1998-07-22,,,,,,,,,,,,,,,23.3307,,,,,,,,,,,23.1499,6.3093,15.9278,,16.5102,23.3577,20.7019
1998-07-23,,,,,,,,,,,,,,,22.5402,,,,,,,,,,,22.5703,6.12,15.8567,,15.8578,22.1177,20.2147
1998-07-24,,,,,,,,,,,,,,,23.0091,,,,,,,,,,,22.1703,6.1405,15.6599,,16.2867,22.2257,20.2868
1998-07-27,,,,,,,,,,,,,,,23.1413,,,,,,,,,,,21.6255,6.1135,16.0932,,16.2182,22.2501,20.5953
1998-07-28,,,,,,,,,,,,,,,23.1984,,,,,,,,,,,20.7561,6.2423,15.65,,15.9696,22.0968,20.0706
1998-07-29,,,,,,,,,,,,,,,23.5741,,,,,,,,,,,20.8662,6.2487,15.473,,16.5102,21.2052,20.379
1998-07-30,,,,,,,,,,,,,,,23.8566,,,,,,,,,,,21.1908,6.0053,15.9394,,16.557,22.163,20.7913
1998-07-31,,,,,,,,,,,,,,,23.2164,,,,,,,,,,,20.9763,6.1135,15.8567,,16.3408,21.9889,20.2522
1998-08-03,,,,,,,,,,,,,,,22.7296,,,,,,,,,,,20.6865,5.9717,16.0006,,16.8057,21.4664,19.7477
1998-08-04,,,,,,,,,,,,,,,22.0894,,,,,,,,,,,19.6374,5.6872,15.4218,,15.8578,20.3344,19.3499
1998-08-05,,,,,,,,,,,,,,,22.5222,,,,,,,,,,,20.2866,5.7218,15.215,,15.4542,21.247,19.0818
1998-08-06,,,,,,,,,,,,,,,22.6905,,,,,,,,,,,21.156,4.0987,15.2051,,15.6092,22.2919,18.7214
1998-08-07,,,,,,,,,,,,,,,22.8227,,,,,,,,,,,21.0865,3.9289,14.9355,,15.1839,21.9018,19.298
1998-08-10,,,,,,,,,,,,,,,22.3539,,,,,,,,,,,21.0111,3.6118,14.9885,,14.8451,21.9645,19.494
1998-08-11,,,,,,,,,,,,,,,22.2397,,,,,,,,,,,20.5764,3.7871,14.5022,,15.0469,22.2919,19.7218
1998-08-12,,,,,,,,,,,,,,,22.8408,,,,,,,,,,,20.9763,3.7741,14.7189,,14.9568,22.9014,19.4491
1998-08-13,,,,,,,,,,,,,,,22.7656,,,,,,,,,,,20.5068,3.469,14.7189,,15.4758,22.3999,19.7769
1998-08-14,,,,,,,,,,,,,,,22.6154,,,,,,,,,,,20.1417,3.3878,14.4096,,14.8235,21.7276,19.8291
1998-08-17,,,,,,,,,,,,,,,23.0496,,,,,,,,,,,19.962,3.456,14.7917,,15.3641,21.8774,20.1916
1998-08-18,,,,,,,,,,,,,,,22.9742,,,,,,,,,,,20.2866,3.4896,14.8529,,15.5875,22.379,20.3569
1998-08-19,,,,,,,,,,,,,,,22.8988,,,,,,,,,,,20.2866,3.4961,14.7272,,15.5875,22.2919,20.5193
1998-08-20,,,,,,,,,,,,,,,22.7661,,,,,,,,,,,19.7823,3.5502,14.7056,,15.7461,22.5531,20.6817
1998-08-21,,,,,,,,,,,,,,,22.9561,,,,,,,,,,,19.6722,3.6854,14.3735,,15.5875,22.7064,20.5541
1998-08-24,,,,,,,,,,,,,,,23.0858,,,,,,,,,,,19.6374,3.706,14.322,,15.7677,23.4239,20.4642
1998-08-25,,,,,,,,,,,,,,,22.9169,,,,,,,,,,,19.6374,3.8077,14.2904,,15.5191,23.8593,20.4091
1998-08-26,,,,,,,,,,,,,,,23.1823,,,,,,,,,,,19.3476,3.8142,13.7624,,15.4974,24.0544,20.4091
1998-08-27,,,,,,,,,,,,,,,22.2957,,,,,,,,,,,19.0578,3.746,12.9205,,15.5659,23.6433,20.0843
1998-08-28,,,,,,,,,,,,,,,22.3711,,,,,,,,,,,18.5477,3.8618,13.0351,,16.2867,22.7726,19.5941
1998-08-31,,,,,,,,,,,,,,,20.8061,,,,,,,,,,,17.8232,3.9083,12.0487,,15.9047,20.5503,18.9793
1998-09-01,,,,,,,,,,,,,,,21.8253,,,,,,,,,,,17.5334,4.0706,12.6831,,15.656,21.5082,19.249
1998-09-02,,,,,,,,,,,,,,,21.9188,,,,,,,,,,,17.5334,3.9765,13.0666,,15.0037,20.8778,18.5617
1998-09-03,,,,,,,,,,,,,,,22.5792,,,,,,,,,,,17.1335,3.9765,12.5369,,15.0938,20.9439,18.5442
1998-09-04,,,,,,,,,,,,,,,22.9561,,,,,,,,,,,16.8089,3.8953,12.6416,,15.1839,20.3762,19.1591
1998-09-08,,,,,,,,,,,,,,,23.8034,,,,,,,,,,,18.3333,4.0165,13.2742,,15.8578,21.8565,19.5593
1998-09-09,,,,,,,,,,,,,,,23.1069,,,,,,,,,,,19.1274,3.8412,12.9936,,15.7245,21.2679,19.9219
1998-09-10,,,,,,,,,,,,,,,22.8053,,,,,,,,,,,17.9681,3.8542,12.4755,,15.4758,20.3553,20.2119
1998-09-11,,,,,,,,,,,,,,,23.0315,,,,,,,,,,,18.6579,3.8953,12.7345,,16.0597,21.1181,20.4642
1998-09-14,,,,,,,,,,,,,,,23.8215,,,,,,,,,,,19.2375,4.0165,13.1812,,16.4669,21.3131,20.4468
1998-09-15,,,,,,,,,,,,,,,23.5381,,,,,,,,,,,19.1274,4.0706,13.2742,,16.2651,21.7694,20.6643
1998-09-16,,,,,,,,,,,,,,,23.1823,,,,,,,,,,,19.8867,4.1052,13.4602,,15.9948,21.9499,20.2467
1998-09-17,,,,,,,,,,,,,,,22.9923,,,,,,,,,,,19.2375,4.287,13.3987,,15.4974,21.2314,19.8842
1998-09-18,,,,,,,,,,,,,,,23.1431,,,,,,,,,,,19.0578,4.4634,13.2327,,16.3083,21.1199,19.7566
1998-09-21,,,,,,,,,,,,,,,23.915,,,,,,,,,,,19.1274,4.3411,12.962,,16.1498,21.1652,19.7769
1998-09-22,,,,,,,,,,,,,,,23.5954,,,,,,,,,,,19.0926,4.3487,12.6,,16.5354,21.7546,19.4491
1998-09-23,,,,,,,,,,,,,,,23.9542,,,,,,,,,,,19.7823,4.5034,13.3058,,16.8273,22.4939,20.3917
1998-09-24,,,,,,,,,,,,,,,23.7461,,,,,,,,,,,19.707,4.2264,13.1497,,16.939,21.9045,20.1191
1998-09-25,,,,,,,,,,,,,,,23.4627,,,,,,,,,,,20.2518,4.0706,13.1812,,17.0291,21.6011,19.8291
1998-09-28,,,,,,,,,,,,,,,24.1231,,,,,,,,,,,20.7213,4.1052,13.2526,,17.1661,21.4267,19.7392
1998-09-29,,,,,,,,,,,,,,,23.915,,,,,,,,,,,19.9567,3.9559,13.3672,,17.8869,20.2724,20.6643
1998-09-30,,,,,,,,,,,,,,,23.5954,,,,,,,,,,,18.9702,3.7871,12.693,,17.458,19.7911,20.4816
1998-10-01,,,,,,,,,,,,,,,23.0315,,,,,,,,,,,18.2056,3.6118,12.2879,,17.4797,18.5287,20.4642
1998-10-02,,,,,,,,,,,,,,,23.2577,,,,,,,,,,,18.5324,3.983,12.6416,,18.5176,19.3343,21.1719
1998-10-05,,,,,,,,,,,,,,,23.9542,,,,,,,,,,,17.8028,4.0576,12.3094,,19.1015,19.9655,21.7142
1998-10-06,,,,,,,,,,,,,,,23.9904,,,,,,,,,,,17.546,4.1117,12.62,,18.7411,20.7502,21.9695
1998-10-07,,,,,,,,,,,,,,,23.3119,,,,,,,,,,,17.8378,4.1117,12.6615,,18.5194,20.4886,21.4793
1998-10-08,,,,,,,,,,,,,,,22.8596,,,,,,,,,,,17.9487,3.8077,12.4954,,18.7482,19.8121,20.7919
1998-10-09,,,,,,,,,,,,,,,22.9169,,,,,,,,,,,19.0052,4.0165,12.7445,,18.0655,20.6211,20.5193
1998-10-12,,,,,,,,,,,,,,,23.0496,,,,,,,,,,,19.1512,4.0371,13.1397,,17.568,21.207,20.8268
1998-10-13,,,,,,,,,,,,,,,23.4446,,,,,,,,,,,17.9838,3.9905,13.0666,,17.884,20.9036,21.1719
1998-10-14,,,,,,,,,,,,,,,24.0869,,,,,,,,,,,18.6083,4.0576,12.9006,,18.1781,21.3186,21.4619
1998-10-15,,,,,,,,,,,,,,,24.9161,,,,,,,,,,,19.2971,4.2805,13.3257,,18.6102,22.5392,21.9318
1998-10-16,,,,,,,,,,,,,,,25.0669,,,,,,,,,,,20.0267,4.1929,13.8654,,17.9856,23.2367,22.1319
1998-10-19,,,,,,,,,,,,,,,24.9704,,,,,,,,,,,21.0132,4.2946,14.063,,17.9965,23.9761,21.7142
1998-10-20,,,,,,,,,,,,,,,24.5,,,,,,,,,,,20.4295,4.0782,14.3851,,17.9312,22.8636,22.2044
1998-10-21,,,,,,,,,,,,,,,24.3673,,,,,,,,,,,20.2135,4.0641,15.0178,,18.1781,22.6473,21.9143
1998-10-22,,,,,,,,,,,,,,,25.0669,,,,,,,,,,,20.1726,3.9905,14.9032,,18.5412,23.2995,20.8094
1998-10-23,,,,,,,,,,,,,,,25.2538,,,,,,,,,,,19.8107,3.9559,14.6026,,18.701,23.7145,20.6643
